ds,y
2020-05-01 16:25:54.703000069,0.022505785
2020-05-01 16:26:54.703000069,0.021559565
2020-05-01 16:27:54.703000069,0.019364699
2020-05-01 16:28:54.703000069,0.020112161
2020-05-01 16:29:54.703000069,0.020682465
2020-05-01 16:30:54.703000069,0.019346165
2020-05-01 16:31:54.703000069,0.021028658
2020-05-01 16:32:54.703000069,0.019584865
2020-05-01 16:33:54.703000069,0.020888438999999998
2020-05-01 16:34:54.703000069,0.019841693
2020-05-01 16:35:54.703000069,0.019602256999999998
2020-05-01 16:36:54.703000069,0.020416285
2020-05-01 16:37:54.703000069,0.022513692000000002
2020-05-01 16:38:54.703000069,0.021449363
2020-05-01 16:39:54.703000069,0.017478241000000002
2020-05-01 16:40:54.703000069,0.019777994
2020-05-01 16:41:54.703000069,0.025286003999999997
2020-05-01 16:42:54.703000069,0.019957763
2020-05-01 16:43:54.703000069,0.019970037
2020-05-01 16:44:54.703000069,0.019390439
2020-05-01 16:45:54.701999903,0.018154931000000003
2020-05-01 16:46:54.703000069,0.022283836
2020-05-01 16:47:54.701999903,0.021575976
2020-05-01 16:48:54.703000069,0.018723693
2020-05-01 16:49:54.703000069,0.018023665
2020-05-01 16:50:54.703000069,0.021120932000000002
2020-05-01 16:51:54.703000069,0.020876929
2020-05-01 16:52:54.703000069,0.019219774
2020-05-01 16:53:54.701999903,0.020534959
2020-05-01 16:54:54.703000069,0.021642817
2020-05-01 16:55:54.703000069,0.018342274
2020-05-01 16:56:54.703000069,0.020574842
2020-05-01 16:57:54.703000069,0.020680597
2020-05-01 16:58:54.703000069,0.021386867
2020-05-01 16:59:54.703000069,0.021092481
2020-05-01 17:00:54.703000069,0.022599043
2020-05-01 17:01:54.701999903,0.01940952
2020-05-01 17:02:54.703000069,0.017798500000000002
2020-05-01 17:03:54.701999903,0.020237756000000003
2020-05-01 17:04:54.703000069,0.025299687999999997
2020-05-01 17:05:54.703000069,0.019012142
2020-05-01 17:06:54.703000069,0.026078302999999997
2020-05-01 17:07:54.703000069,0.022562323999999998
2020-05-01 17:08:54.703000069,0.021099917000000003
2020-05-01 17:09:54.703000069,0.019161863
2020-05-01 17:10:54.703000069,0.01924089
2020-05-01 17:11:54.703000069,0.020123111000000003
2020-05-01 17:12:54.703000069,0.019780822
2020-05-01 17:13:54.703000069,0.022592123
2020-05-01 17:14:54.701999903,0.019067678
2020-05-01 17:15:54.703000069,0.021003742000000002
2020-05-01 17:16:54.703000069,0.019428326
2020-05-01 17:17:54.703000069,0.021353352000000003
2020-05-01 17:18:54.703000069,0.019155378
2020-05-01 17:19:54.703000069,0.021410428999999998
2020-05-01 17:20:54.701999903,0.019068856999999998
2020-05-01 17:21:54.703000069,0.020782467
2020-05-01 17:22:54.703000069,0.019015406999999998
2020-05-01 17:23:54.703000069,0.020468669
2020-05-01 17:24:54.701999903,0.020094014
2020-05-01 17:25:54.703000069,0.019237004
2020-05-01 17:26:54.703000069,0.02120037
2020-05-01 17:27:54.703000069,0.019431932
2020-05-01 17:28:54.703000069,0.020290795
2020-05-01 17:29:54.703000069,0.021321784
2020-05-01 17:30:54.701999903,0.020130173
2020-05-01 17:31:54.703000069,0.018923145
2020-05-01 17:32:54.703000069,0.021117051
2020-05-01 17:33:54.703000069,0.020256184
2020-05-01 17:34:54.703000069,0.020913756999999998
2020-05-01 17:35:54.703000069,0.018167485
2020-05-01 17:36:54.703000069,0.019646817
2020-05-01 17:37:54.703000069,0.020414417
2020-05-01 17:38:54.703000069,0.022166303999999998
2020-05-01 17:39:54.703000069,0.018902831000000002
2020-05-01 17:40:54.703000069,0.02055852
